0.01000,133.00200
0.02000,266.00400
0.03000,399.00500
0.04000,532.00700
0.05000,665.00900
0.06000,651.93100
0.07000,638.85300
0.08000,625.77600
0.09000,612.69800
0.10000,599.62000
0.11000,602.15600
0.12000,604.69100
0.13000,607.22700
0.14000,609.76200
0.15000,612.29800
0.16000,614.83300
0.17000,617.36900
0.18000,619.90400
0.19000,622.44000
0.20000,624.97500
0.21000,624.75300
0.22000,624.53000
0.23000,624.30800
0.24500,623.97400
0.26800,623.47400
0.30100,622.72300
0.35100,621.61100
0.40000,620.52700
0.45000,618.30300
0.50000,616.07800
0.55000,612.07500
0.60000,608.07100
0.65000,604.06800
0.70000,600.06400
0.75000,596.06100
0.80000,592.05800
0.85000,588.05400
0.90000,584.05100
0.95000,580.04700
1.00000,576.04400
1.05000,570.03900
1.10000,564.03400
1.15000,558.02900
1.20000,552.02400
1.25000,546.01900
1.30000,540.01400
1.35000,534.00900
1.40000,528.00400
1.45000,521.99900
1.50000,515.99400
1.55000,509.32200
1.60000,502.64900
1.65000,495.97700
1.70000,489.30400
1.75000,482.63200
1.80000,475.96000
1.85000,469.28700
1.90000,462.61500
1.95000,455.94200
2.00000,449.27000
2.05000,443.93200
2.10000,438.59400
2.15000,433.25700
2.20000,427.91900
2.25000,422.58100
2.30000,417.24300
2.35000,411.90500
2.40000,406.56800
2.45000,401.23000
2.50000,395.89200
2.55000,391.66600
2.60000,387.44000
2.65000,383.21400
2.70000,378.98800
2.75000,374.76300
2.80000,370.53700
2.85000,366.31100
2.90000,362.08500
2.95000,357.85900
3.00000,353.63300
3.05000,346.96100
3.10000,340.28900
3.15000,342.51300
3.20000,293.58300
3.25000,242.42800
3.30000,191.27300
3.35000,153.46300
3.40000,115.65300
3.45000,77.84300
3.50000,68.94700
3.55000,60.05100
3.60000,51.15500
3.65000,38.92200
3.70000,26.68900
3.75000,18.46000
3.80000,10.23100
3.85000,8.18500
3.90000,6.13900
3.95000,4.09200
4.00000,2.04600
